county,year,MAE,R2
Cavan,2010,0.42753816887189844,-4.271570029660493
Cavan,2011,0.38474271455077935,-2.282447995626738
Cavan,2012,0.35709567003919584,-3.2225221006513323
Cavan,2013,0.7147756476729105,0.10096015636972111
Cavan,2014,1.4472246049438218,-2.940288790162062
Cavan,2015,3.1672420920924496,-0.47057853588110254
Cavan,2016,0.7445934869724677,-0.36479435446526787
Cavan,2017,140.24060218664988,-17172.819402417364
Cavan,2018,21.79747988342577,0.21152027192852496
Cavan,2019,0.7846854402758157,-16.290556213409886
Cavan,2020,1.86866037215038,0.1458855317859178
Cavan,2021,2004.4469696981957,0.8676669729481338
Cavan,2022,0.4905392366572568,-3.619159159053863
Cavan,2023,0.4539261441388691,-0.17333969109560798
Clare,2010,0.36574652206960606,-0.051116243823160046
Clare,2011,0.08042255959661415,
Clare,2012,0.42275302927734426,-0.0651499513205227
Clare,2013,26194.51901504305,0.09418428126761735
Clare,2014,1.789538846124329,-69.89670020102434
Clare,2015,0.2128629069969947,-77.91689061775685
Clare,2016,1202.2241941310951,0.062281915757198325
Clare,2017,1.2766060207826329,-0.4692255647856265
Clare,2018,0.7606073729352533,-0.3096346854078529
Clare,2019,0.7996073067316365,-17.388175943746848
Clare,2020,0.856042327634342,-0.5153075361903383
Clare,2021,0.23262506711789072,0.11893744138873819
Clare,2022,1.2553656248367846,-4.811358382843102
Clare,2023,1.123278022628964,-0.06698452071829508
Cork,2010,0.04776232052000551,
Cork,2011,0.25365308887463045,-1.3355480421044303
Cork,2012,1.1116230274084746,-0.181815843202225
Cork,2013,10.950142465074732,-0.12404487943406117
Cork,2014,1.4128747046877674,-0.5030137346694767
Cork,2015,0.6091779544106148,-3.0983399757512737
Cork,2016,0.8247450289649275,-0.24878077239236274
Cork,2017,5.808826417703951,-2410.155016715876
Cork,2018,1.668641158286821,-0.190997020660979
Cork,2019,0.9849988494257425,-0.057369268442752475
Cork,2020,0.6806187999344587,-0.012371094967350782
Cork,2021,1.0336396490178836,-0.06528983372569463
Cork,2022,0.18419125263789748,-1.6560352547894852
Cork,2023,0.14901813887498666,-0.9650335975896553
Donegal,2010,0.6292022883949067,-6.8356528213086865
Donegal,2011,0.42410995936372553,-0.9702350419468759
Donegal,2012,4.18875946400573,-0.3895032629621138
Donegal,2013,0.6152343891085231,0.061423523835381744
Donegal,2014,0.5995150858473743,-3.283601381096907
Donegal,2015,0.36325262942387104,-0.10980927750594005
Donegal,2016,1.7530589836697854,-7.050216573829019
Donegal,2017,0.809724919236764,-0.1596445783766176
Donegal,2018,0.24438902120317169,-17.117370758483688
Donegal,2019,0.6995505651734035,-0.2245872996391669
Donegal,2020,1.8672622849666456,-0.0046916320079017915
Donegal,2021,1.0117327407442278,-0.1176785436369312
Donegal,2022,2.037310547584402,-66.55264093802406
Donegal,2023,0.29736883039093276,0.6991138033375854
Dublin,2010,6.731989201383705,-0.04669631600257951
Dublin,2011,0.6833074883760057,-0.023242285936238005
Dublin,2012,0.9879334716447316,-0.09419812661093308
Dublin,2013,206.41326595643682,0.12864531045020666
Dublin,2014,1.051984926352047,-0.789791290098568
Dublin,2015,0.6330100999399173,-0.07325198126478094
Dublin,2016,0.14410489002578566,0.7153296001222722
Dublin,2017,0.7057072531860633,-0.2466424018252753
Dublin,2018,0.6185837516153389,-0.20870251025495135
Dublin,2019,0.339044813766046,-4.012139872937463
Dublin,2020,0.32075546115727316,0.04700349596735165
Dublin,2021,0.29224505305078413,-0.9986522303024081
Dublin,2022,0.2199382623673464,-0.018492369290235233
Dublin,2023,0.2644711760444117,-2.2327879710976863
Galway,2010,0.24039964301139302,-5.257371548660215
Galway,2011,1.8905308039169562,-39.69718960743176
Galway,2012,0.5749138001120995,-1.6519739190093818
Galway,2013,0.4584185959506632,-23.59119255398951
Galway,2014,5.504716650484905,-1.7731923189903016
Galway,2015,1.4336814769028545,-0.10529906331152494
Galway,2016,1.9919870359728857,-0.02381007054922879
Galway,2017,222.0975286605925,-3.0085101390696822
Galway,2018,0.9466580039855866,0.0888488357674635
Galway,2019,1.3284958272349001,-0.41819049607547276
Galway,2020,1.355433850118886,-7.095412798475953
Galway,2021,1.6561782834256857,-0.03508332954771376
Galway,2022,1.0295731087588558,-0.16036404537761562
Galway,2023,1.4408599673202616,-0.6741625716151245
Kerry,2010,0.2956012780113685,-0.25135655865045803
Kerry,2011,0.39569718577043284,-0.6833625732679995
Kerry,2012,1.1872777505660612,-8.887770055892547
Kerry,2013,1.0130266256369522,-0.4424179634010379
Kerry,2014,25450.345537083842,0.07991723571041753
Kerry,2015,0.32737777777777777,-0.6837817262806969
Kerry,2016,0.3896884416477709,-1.0375983416776178
Kerry,2017,10.56639237432526,-28443.62713945877
Kerry,2018,1.399710301778359,-0.9439333562099881
Kerry,2019,0.7664064508924749,-0.28648038794181496
Kerry,2020,0.3141026867603131,-27.58884777082132
Kerry,2021,1.3053368724648138,-0.22900492239167258
Kerry,2022,1.1737662079141065,-0.16848054443732186
Kerry,2023,0.7744867092654415,-0.024397038541667193
Kildare,2010,63031.10272397456,0.08089308923764538
Kildare,2011,2.912498894919541,-112.9127968232193
Kildare,2012,6153.1169874777715,-1.061186460480366
Kildare,2013,1147.2280469323675,0.13349386596617974
Kildare,2014,2.872902225862694,-0.13185140590422706
Kildare,2015,0.3186517045916613,-0.022062991302172374
Kildare,2016,0.7085404275085504,-0.16493629464443282
Kildare,2017,0.4931656163004442,-3.3725845552018354
Kildare,2018,0.22646682403984775,-81.32216604421656
Kildare,2019,0.22272726754228087,-0.03176143761425654
